initial_condition, time, x, y, z
0, 0, 0, 1, 1.05
0, 0.01, 0.09510505, 1.0030386, 1.0228454
0, 0.02, 0.18264881, 1.0305115, 0.99732643
0, 0.03, 0.2655814, 1.080595, 0.97341806
0, 0.04, 0.3464356, 1.1522099, 0.951174
0, 0.049999997, 0.4274322, 1.2449186, 0.93071914
0, 0.059999995, 0.51056695, 1.3588488, 0.91224986
0, 0.06999999, 0.5976828, 1.4946375, 0.89604145
0, 0.07999999, 0.6905309, 1.653393, 0.8824608
0, 0.08999999, 0.7908232, 1.8366716, 0.87198544
0, 0.09999999, 0.90027785, 2.0464652, 0.8652292
0, 0.109999985, 1.02066, 2.2852004, 0.8629752
0, 0.11999998, 1.1538193, 2.5557446, 0.8662184
0, 0.12999998, 1.3017237, 2.8614185, 0.8762192
0, 0.13999999, 1.4664925, 3.2060125, 0.894571
0, 0.14999999, 1.6504278, 3.5938048, 0.92328453
0, 0.16, 1.8560438, 4.0295787, 0.9648935
0, 0.17, 2.0860953, 4.5186315, 1.0225856
0, 0.18, 2.3436046, 5.066776, 1.1003643
0, 0.19000001, 2.6318831, 5.680317, 1.2032478
0, 0.20000002, 2.9545493, 6.3660007, 1.3375112
0, 0.21000002, 3.3155365, 7.130913, 1.510978
0, 0.22000003, 3.7190883, 7.9823117, 1.7333666
0, 0.23000003, 4.169733, 8.92736, 2.0166922
0, 0.24000004, 4.67223, 9.972716, 2.3757215
0, 0.25000003, 5.2314706, 11.123952, 2.8284638
0, 0.26000002, 5.8523264, 12.384704, 3.3966656
0, 0.27, 6.5394125, 13.755515, 4.106247
0, 0.28, 7.2967453, 15.232285, 4.9875765
0, 0.29, 8.127265, 16.804249, 6.0754223
0, 0.29999998, 9.032186, 18.451483, 7.408341
0, 0.30999997, 10.010149, 20.141968, 9.027182
0, 0.31999996, 11.056167, 21.828453, 10.972302
0, 0.32999995, 12.160374, 23.445559, 13.279078
0, 0.33999994, 13.30666, 24.90793, 15.971361
0, 0.34999993, 14.471365, 26.110632, 19.052902
0, 0.35999992, 15.622293, 26.933285, 22.497349
0, 0.36999992, 16.718466, 27.249395, 26.238468
0, 0.3799999, 17.711065, 26.941635, 30.16336
0, 0.3899999, 18.546007, 25.922152, 34.112335
0, 0.3999999, 19.168318, 24.154564, 37.888844
0, 0.40999988, 19.52804, 21.671806, 41.280823
0, 0.41999987, 19.586798, 18.583069, 44.091007
0, 0.42999986, 19.323658, 15.064963, 46.16935
0, 0.43999985, 18.7388, 11.33698, 47.43831
0, 0.44999984, 17.853973, 7.627155, 47.903095
0, 0.45999983, 16.709553, 4.1377144, 47.64413
0, 0.46999982, 15.3589945, 1.0199333, 46.7953
0, 0.4799998, 13.862102, -1.6367939, 45.51585
0, 0.4899998, 12.278566, -3.802172, 43.96413
0, 0.4999998, 10.662896, -5.4929166, 42.27871
0, 0.5099998, 9.061183, -6.756924, 40.568542
0, 0.5199998, 7.509689, -7.658209, 38.910976
0, 0.5299998, 6.0348454, -8.2651205, 37.3549
0, 0.5399998, 4.654185, -8.642542, 35.926434
0, 0.5499998, 3.3777485, -8.847628, 34.635113
0, 0.55999976, 2.2096312, -8.928155, 33.479443
0, 0.56999975, 1.1494486, -8.922539, 32.451313
0, 0.57999974, 0.19361559, -8.860744, 31.539215
0, 0.58999974, -0.6636067, -8.765577, 30.730413
0, 0.5999997, -1.4292891, -8.654017, 30.012316
0, 0.6099997, -2.1112142, -8.53845, 29.373253
0, 0.6199997, -2.717423, -8.427711, 28.80286
0, 0.6299997, -3.2558954, -8.32793, 28.292206
0, 0.6399997, -3.7343326, -8.243211, 27.833773
0, 0.6499997, -4.160016, -8.176135, 27.421345
0, 0.65999967, -4.539724, -8.128166, 27.04987
